"","zone","WP","MP","PP","NP","Total"
"1","Total",9306,6007,87566,76645,179524
"2","Lowland river",64,850,17211,2878,21003
"3","Lower foothill",5824,962,27676,40665,75127
"4","Upper foothill",1598,3002,39276,32697,76573
"5","Mountain stream",1820,1193,3403,405,6821
