"","zone","WP","MP","PP","NP","Total","EPLI"
"1","Total",17,29,107,69,222,0.324324324324324
"2","Lowland river",2,8,19,20,49,0.27891156462585
"3","Lower foothill",4,4,32,18,58,0.298850574712644
"4","Upper foothill",3,5,32,19,59,0.288135593220339
"5","Mountain stream",8,12,24,12,56,0.428571428571429
