"","zone","WP","MP","PP","NP"
"1","Lowland river",0.005,0.061,0.842,0.093
"2","Lower foothill",0.029,0.065,0.386,0.52
"3","Upper foothill",0.021,0.039,0.671,0.269
"4","Mountain stream",0.218,0.236,0.487,0.059
